巴音	1101518	3029	0.0027498415822528547
常州	17980361	21411	0.0011907992281133843
常德	12437805	37937	0.003050136257965131
平凉	784764	106	1.3507245490363982E-4
平顶山	5911318	4113	6.957839182395534E-4
广元	2588019	3215	0.0012422629045613653
广安	2748211	47966	0.017453536136781345
广州	108716104	196137	0.0018041209423766695
庆阳	1556721	1741	0.001118376382151972
廊坊	12909411	19991	0.0015485601937997016
延安	3638777	1023	2.8113841546211816E-4
延边	5846044	4832	8.265418460757394E-4
开封	5655721	4424	7.822168031273113E-4
张家口	8580697	6598	7.689352042147625E-4
张家界	2353467	1047	4.4487558142944003E-4
张掖	1265523	224	1.770019193645631E-4
徐州	20726083	18090	8.728132566100406E-4
德宏傣族景颇族自治州	1438621	253	1.7586285755595115E-4
德州	10638673	11374	0.001069118300750479
德阳	4963663	10196	0.0020541281710704374
忻州	4055867	2641	6.511554742796053E-4
怀化	9541241	4051	4.2457789295962653E-4
怒江	275779	19	6.889574623158398E-5
恩施	5162011	4218	8.171234040376899E-4
惠州	22875692	40660	0.0017774325690344144
成都	134498748	245527	0.0018254965466295641
扬州	10449716	7508	7.184884259055462E-4
承德	4594860	1698	3.695433593188911E-4
抚州	3958476	5431	0.0013719926557594388
抚顺	4769139	5050	0.0010588913428608393
拉萨	864217	433	5.01031569617353E-4
揭阳	9887819	18180	0.0018386258890863596
攀枝花	2305311	2594	0.0011252277892223653
文山	2578623	663	2.5711397129398134E-4
新乡	9636763	6604	6.852923538744286E-4
新余	1647927	1231	7.469991085770183E-4
无锡	28548440	95970	0.0033616547874419757
日喀则	19989	0	0.0
日照	5089594	11133	0.0021874043391280325
昆明	24990394	15585	6.2363962729039E-4
昌吉	637720	505	7.918835852725334E-4
昌都	31074	2	6.436248954109545E-5
昭通	2948951	1371	4.6491108194066295E-4
晋中	7661392	5022	6.55494458448282E-4
晋城	2735388	2752	0.0010060729958601851
普洱市	2416911	534	2.2094317912409682E-4
景德镇	2463921	1473	5.97827608920903E-4
曲靖	3686561	2441	6.621347103709935E-4
朔州	1757438	419	2.3841523854611088E-4
朝阳	4832036	2918	6.038862293244504E-4
本溪	4691376	2401	5.117901442988155E-4
来宾	1757075	695	3.955437303473102E-4
杭州	78252526	118325	0.0015120917630186148
松原	4146480	4922	0.001187030927437248
林芝	47407	0	0.0
果洛	86287	15	1.7383846929433172E-4
枣庄	10788696	130258	0.01207356292178406
柳州	11744325	13633	0.0011608159685635403
株洲	17150236	6566	3.828518744581707E-4
桂林	8771898	59876	0.006825888764324437
梅州	9441922	363181	0.03846473207467717
梧州	3310348	2745	8.292179553327928E-4
楚雄	1828569	1497	8.186729623000281E-4
榆林	7200651	2966	4.119072011683388E-4
武威	1280885	531	4.145571226144424E-4
武汉	66642510	73818	0.0011076713647190058
毕节	5161925	2189	4.24066603059905E-4
永州	7455114	7111	9.538418862541874E-4
汉中	5116863	220395	0.04307228862684031
汕头	14842127	29015	0.001954908484478
汕尾	7920598	7204	9.095272856923177E-4
江门	12171664	21406	0.0017586749026262966
池州	2362483	1464	6.196869988059174E-4
沈阳	33769504	17888	5.297086981200553E-4
沧州	19283098	41378	0.002145817025874162
河池	6161179	3952	6.414356732696777E-4
河源	4732090	37897	0.008008512095078496
